Symbol;Name;Market Capital;CEO;Employees;Headquarters;Founded;Industry;Source;Source Link
ACI;Albertsons Companies Inc. Class A Common Stock;12724071840.00;;;250 E Parkcenter Blvd Boise, ID 83706-3940 United States;;;CNBC;https://www.cnbc.com/quotes/ACI
ACIC;American Coastal Insurance Corporation Common Stock;524634520.00;;;570 Carillon Parkway, Suite 100 St Petersburg, FL 33716 United States;;;CNBC;https://www.cnbc.com/quotes/ACIC
ACIU;AC Immune SA Common Stock;169693537.00;;;EPFL Innovation Park, Building B Lausanne 1015 Switzerland;;;CNBC;https://www.cnbc.com/quotes/ACIU
ACIW;ACI Worldwide Inc. Common Stock;4855804567.00;;;6060 Coventry Drive Elkhorn, NE 68022 United States;;;CNBC;https://www.cnbc.com/quotes/ACIW
ACLS;Axcelis Technologies Inc. Common Stock;1873794656.00;;;108 Cherry Hill Dr Beverly, MA 01915 United States;;;CNBC;https://www.cnbc.com/quotes/ACLS
ACLX;Arcellx Inc. Common Stock;3522420456.00;Rami Elghandour;;800 Bridge Parkway Redwood City, CA 94065 United States;;;CNBC;https://www.cnbc.com/quotes/ACLX
ACM;AECOM Common Stock;14235544883.00;;;13355 Noel Road, Suite 400 Dallas, TX 75240 United States;;;CNBC;https://www.cnbc.com/quotes/ACM
ACMR;ACM Research Inc. Class A Common Stock;1431203535.00;Hui Wang;;42307 Osgood Rd Ste I Fremont, CA 94539-5062 United States;;;CNBC;https://www.cnbc.com/quotes/ACMR
ACN;Accenture plc Class A Ordinary Shares (Ireland);210104599976.00;Julie Sweet;;1 Grand Canal Square Grand Canal Harbour, Dublin 2 Dublin D2 Ireland;;;CNBC;https://www.cnbc.com/quotes/ACN
ACNB;ACNB Corporation Common Stock;439685338.00;;;16 Lincoln Square, P O Box 3129 Gettysburg, PA 17325 United States;;;CNBC;https://www.cnbc.com/quotes/ACNB
ACNT;Ascent Industries Co. Common Stock;125021078.00;;;1400 16Th Street, Suite 270 Oak Brook, IL 60523 United States;;;CNBC;https://www.cnbc.com/quotes/ACNT
ACOG;Alpha Cognition Inc. Common Stock;146420853.00;;;c/o 1200 - 750 West Pender Street Vancouver, BC V6C 2T8 Canada;;;CNBC;https://www.cnbc.com/quotes/ACOG
ACON;Aclarion Inc. Common Stock;3901886.00;;;8181 Arista Place, Ste 100 Broomfield, CO 80021 United States;;;CNBC;https://www.cnbc.com/quotes/ACON
ACONW;Aclarion Inc. Warrant;17529.00;;;8181 Arista Place, Ste 100 Broomfield, CO 80021 United States;;;CNBC;https://www.cnbc.com/quotes/ACONW
ACP;abrdn Income Credit Strategies Fund Common Shares;0.00;;;1900 Market Street, Suite 200 Philadelphia, PA 19103 United States;;;CNBC;https://www.cnbc.com/quotes/ACP
ACP^A;abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock;;;;1900 Market Street, Suite 200 Philadelphia, PA 19103 United States;;;CNBC;https://www.cnbc.com/quotes/ACP
ACR;ACRES Commercial Realty Corp. Common Stock;133982795.00;;;390 RXR Plaza Uniondale, NY 11556 United States;;;CNBC;https://www.cnbc.com/quotes/ACR
