Symbol,Name,Market Capital,CEO,Employees,Headquarters,Founded,Industry,Source,Source Link
ADXN,Addex Therapeutics Ltd American Depositary Shares,8445953.00,,,,,,,
AEBI,Aebi Schmidt Holding AG Common Stock ,953696429.00,,,,,,,
AEE,Ameren Corporation Common Stock,26981501618.00,,,,,,,
AEF,abrdn Emerging Markets ex-China Fund Inc. Common Stock,655984875.00,,,,,,,
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,0.00,,,,,,,
AEG,Aegon Ltd. New York Registry Shares,15628182957.00,,,,,,,
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,11829006.00,,,,,,,
AEHR,Aehr Test Systems Common Stock,746380772.00,,,,,,,
AEI,Alset Inc. Common Stock (TX),55302563.00,,,,,,,
AEIS,Advanced Energy Industries Inc. Common Stock,5645934988.00,,,,,,,
AEM,Agnico Eagle Mines Limited Common Stock,72476337931.00,,,,,,,
AEMD,Aethlon Medical Inc. Common Stock,4859590.00,,,,,,,
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,589738422.00,,,,,,,
AENTW,Alliance Entertainment Holding Corporation Warrants,28860012.00,,,,,,,
AEO,American Eagle Outfitters Inc. Common Stock,2242090948.00,,,,,,,
AEON,AEON Biopharma Inc. Class A Common Stock,8519758.00,,,,,,,
AEP,American Electric Power Company Inc. Common Stock,59372914588.00,,,,,,,
AER,AerCap Holdings N.V. Ordinary Shares,23067728288.00,,,,,,,
AERT,Aeries Technology Inc. Class A Ordinary Share,34204516.00,,,,,,,
AES,The AES Corporation Common Stock,9641151097.00,,,,,,,
AESI,Atlas Energy Solutions Inc. Common Stock,1448983667.00,,,,,,,
AEVA,Aeva Technologies Inc. Common Stock,833931569.00,,,,,,,
AEVAW,Aeva Technologies Inc. Warrants,21967802.00,,,,,,,
AEYE,AudioEye Inc. Common Stock,159438290.00,,,,,,,
AFB,AllianceBernstein National Municipal Income Fund Inc,0.00,,,,,,,
AFBI,Affinity Bancshares Inc. Common Stock (MD),124778728.00,,,,,,,
AFCG,Advanced Flower Capital Inc. Common Stock,105290561.00,,,,,,,
AFG,American Financial Group Inc. Common Stock,11329973917.00,,,,,,,
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,1863032661.00,,,,,,,
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,1611181334.00,,,,,,,
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,1787977630.00,,,,,,,
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,1456901548.00,,,,,,,
AFJK,Aimei Health Technology Co. Ltd Ordinary Share,0.00,,,,,,,
AFJKR,Aimei Health Technology Co. Ltd Right,0.00,,,,,,,
AFL,AFLAC Incorporated Common Stock,57152093021.00,,,,,,,
AFRI,Forafric Global PLC Ordinary Shares,233774834.00,,,,,,,
AFRIW,Forafric Global PLC Warrants,21790290.00,,,,,,,
AFRM,Affirm Holdings Inc. Class A Common Stock,28537192373.00,,,,,,,
AFYA,Afya Limited Class A Common Shares,1372102242.00,,,,,,,
AG,First Majestic Silver Corp. Ordinary Shares (Canada),4465359092.00,,,,,,,
AGAE,Allied Gaming & Entertainment Inc. Common Stock,44482092.00,,,,,,,
AGCO,AGCO Corporation Common Stock,8073162359.00,,,,,,,
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,0.00,,,,,,,
AGEN,Agenus Inc. Common Stock,133191971.00,,,,,,,
AGFY,Agrify Corporation Common Stock,94361004.00,,,,,,,
AGH,Aureus Greenway Holdings Inc. Common Stock,63403008.00,,,,,,,
AGI,Alamos Gold Inc. Class A Common Shares,12806216978.00,,,,,,,
AGIO,Agios Pharmaceuticals Inc. Common Stock,2191008244.00,,,,,,,
AGL,agilon health inc. Common Stock,530461631.00,,,,,,,
AGM,Federal Agricultural Mortgage Corporation Common Stock,2291422034.00,,,,,,,
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,,,,,,,,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,,,,,,,,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,,,,,,,,
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,,,,,,,,
AGM^H,Federal Agricultural Mortgage Corporation,,,,,,,,
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,3951907.00,,,,,,,
AGNC,AGNC Investment Corp. Common Stock,10167309834.00,,,,,,,
